"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
-0.03168154,0.6115252,0.03834337
-0.03194702,0.6109437,0.03767139
-0.04283834,0.6124072,0.04026276
-0.03218234,0.6115052,0.04559118
-0.04342186,0.6119519,0.04223156
-0.03217649,0.6116259,0.04332793
-0.01485336,0.6118771,0.03346562
0.002089858,0.611721,0.01483727
0.009447575,0.6106747,-0.009765983
0.007933378,0.6099824,-0.0345915
0.001429677,0.6091431,-0.05520391
-0.008567214,0.6096008,-0.03565812
-0.01390505,0.609557,-0.01624507
-0.005365372,0.6088256,-0.02749157
-0.00348103,0.6078324,-0.0473153
-0.009006381,0.6101276,-0.04958189
-0.01301801,0.6089096,-0.03429407
-0.01280653,0.610355,-0.02368975
-0.009001255,0.6093369,-0.03118062
-0.007430792,0.6085328,-0.04010212
-0.007430792,0.6085328,-0.04010212
-0.006846309,0.6090322,-0.03979772
-0.05254078,0.6074395,-0.06662357
-0.1186844,0.601431,-0.1460447
-0.151588,0.600933,-0.1790495
-0.1719006,0.6003201,-0.1925033
-0.1882191,0.6006668,-0.1975662
-0.2063178,0.598256,-0.2042437
-0.2256901,0.598951,-0.2055266
-0.2451267,0.5974119,-0.2065022
-0.2616481,0.6005387,-0.2045781
-0.2174907,0.5969573,-0.3045766
-0.1527848,0.5937481,-0.4375851
-0.07990253,0.5896351,-0.5752636
-0.001065254,0.5906873,-0.7097306
-0.001065254,0.5906873,-0.7097306
0.03759706,0.5868312,-0.7806458
0.02716267,0.5894536,-0.717188
0.03278244,0.5902562,-0.7032261
0.04842591,0.5912222,-0.689474
0.06138623,0.5926124,-0.6684071
0.06414568,0.5916173,-0.6454294
0.05848348,0.5927441,-0.6202325
0.05282295,0.5930612,-0.5968421
0.04282725,0.5947012,-0.5726903
0.02756965,0.5922425,-0.553964
0.02249134,0.594649,-0.5469757
0.01981103,0.5949852,-0.546872
-0.01863539,0.5977023,-0.4405169
-0.07132757,0.5984679,-0.31382
-0.1348026,0.6020474,-0.1647215
-0.2016821,0.6036602,-0.02671742
-0.2016821,0.6036602,-0.02671742
-0.2443264,0.6071534,0.08627403
-0.2275244,0.6051536,0.1083471
-0.2211999,0.6083555,0.1580124
-0.2107503,0.6126117,0.2855676
-0.2025585,0.6169014,0.4532849
-0.2036959,0.6211281,0.6077143
-0.207352,0.6241763,0.7467449
-0.2169548,0.6313242,0.90737
-0.2315643,0.6326882,1.046175
-0.2315643,0.6326882,1.046175
-0.2487162,0.6345941,1.157202
-0.2605637,0.6320479,1.099225
-0.2580202,0.636032,1.088403
-0.2636361,0.6341866,1.081481
-0.2795992,0.6342704,1.074427
-0.2982434,0.6332064,1.065975
-0.3178017,0.6339586,1.055135
-0.3338476,0.6337219,1.042966
-0.3479893,0.6318274,1.026067
-0.3579552,0.6313919,1.004809
-0.3630628,0.6294739,0.9799498
-0.3599514,0.6295973,0.9585197
-0.3529705,0.6283673,0.9373013
-0.3361049,0.6289682,0.9155982
-0.3156229,0.6277363,0.8502158
-0.2735875,0.6258996,0.7159086
-0.2241982,0.6233876,0.5703585
-0.1677684,0.6194034,0.4264213
-0.105769,0.6162581,0.2831702
-0.0397073,0.6156366,0.1431756
0.03220046,0.6159146,0.006645322
0.114118,0.611522,-0.1350693
0.114118,0.611522,-0.1350693
0.1823395,0.605854,-0.2527801
0.1639386,0.6084356,-0.2970766
0.1378512,0.6079451,-0.2878906
0.1378512,0.6079451,-0.2878906
0.1280189,0.5950856,-0.3167173
0.1477789,0.6054739,-0.3439791
0.1609759,0.6064063,-0.3608053
0.1603053,0.6060784,-0.3588783
0.1713777,0.6038529,-0.4008172
0.1962646,0.6012267,-0.5203032
0.2346444,0.597227,-0.6681479
0.2346444,0.597227,-0.6681479
0.2451957,0.5987192,-0.7731656
0.2143333,0.5928644,-0.7869602
0.1989998,0.5934982,-0.7692177
0.1980156,0.5943176,-0.7473191
0.2091609,0.5956423,-0.7283027
0.228757,0.5962362,-0.7099296
0.2447594,0.5980365,-0.7032754
0.262579,0.5968127,-0.7041348
0.2670857,0.5972109,-0.7059237
0.2410616,0.5963058,-0.6714638
0.1537927,0.5958723,-0.5491576
0.06834352,0.6025561,-0.4370954
0.06834352,0.6025561,-0.4370954
0.02498972,0.6020452,-0.3465307
0.03632796,0.6011037,-0.3298268
0.03612673,0.6010171,-0.3305665
0.0327158,0.603902,-0.2786084
0.02099442,0.6074631,-0.1318336
0.00141716,0.6114094,0.009172678
-0.02178919,0.6157237,0.1528426
-0.04992092,0.6188285,0.2953347
-0.08270681,0.6200632,0.4386567
-0.1211596,0.6259668,0.5779237
-0.1690354,0.6243892,0.7345886
-0.2146426,0.6275898,0.8735305
-0.2671015,0.6312551,1.009162
-0.2671015,0.6312551,1.009162
-0.3264784,0.6341715,1.149937
-0.3196959,0.6334666,1.225897
-0.3342805,0.6354539,1.241765
-0.3180096,0.6355158,1.24137
-0.3360116,0.6360583,1.246606
-0.3232456,0.6355369,1.246056
-0.3343779,0.6349157,1.248967
-0.3196692,0.6365179,1.246636
-0.3413535,0.6363974,1.248825
-0.3519741,0.6346716,1.253776
-0.3479155,0.6363091,1.253021
-0.3660415,0.6368097,1.247021
-0.3850796,0.6360767,1.241236
-0.4022156,0.6357965,1.230408
-0.4191701,0.6345164,1.21482
-0.4329005,0.6342244,1.199137
-0.4456409,0.6328763,1.17764
-0.4515486,0.6320647,1.154893
-0.4516636,0.6312226,1.13169
-0.4457529,0.6315196,1.110232
-0.4332693,0.6315044,1.090544
-0.4170957,0.6316631,1.074543
-0.3983514,0.6320221,1.064025
-0.3785263,0.6329004,1.057902
-0.3785263,0.6329004,1.057902
-0.3411647,0.6326759,1.045796
-0.3037072,0.6332593,0.9921439
-0.3171703,0.633018,0.9765971
-0.3181201,0.6289676,0.9252672
-0.2977076,0.6262072,0.7965572
-0.2659886,0.6241237,0.6407887
-0.2337272,0.6211531,0.5040827
-0.1936525,0.6161013,0.3615372
-0.1453128,0.6146014,0.2129998
-0.09232628,0.6125957,0.06791568
-0.02679908,0.6088123,-0.08929789
0.03071654,0.6082612,-0.2168067
0.09723759,0.6048204,-0.3485703
0.166356,0.6038275,-0.4768037
0.166356,0.6038275,-0.4768037
0.24571,0.603287,-0.6097263
0.3313702,0.5976202,-0.7496521
0.3075026,0.5968649,-0.7862957
0.2835414,0.5980439,-0.7790827
0.2718166,0.5992006,-0.7638075
0.2718166,0.5992006,-0.7638075
0.203303,0.5928868,-0.83949
0.1054538,0.5871953,-0.9497158
0.01553035,0.5824243,-1.062157
-0.07508719,0.5770659,-1.185314
-0.1106907,0.5715398,-1.286397
-0.07935154,0.5733898,-1.311577
-0.04880381,0.573032,-1.309922
-0.02630997,0.5739217,-1.304835
-0.006480813,0.572765,-1.298601
0.01476538,0.5740536,-1.284472
0.02014029,0.5740535,-1.300262
0.02243423,0.5738055,-1.278057
0.0223949,0.5742126,-1.259032
0.02310479,0.5744206,-1.240254
0.02088356,0.5755928,-1.234662
0.0344125,0.5756062,-1.241416
0.03775632,0.5749259,-1.258169
0.03700757,0.5736322,-1.274865
0.03151572,0.5746113,-1.291069
0.02283347,0.5735803,-1.304508
0.02061319,0.5730773,-1.306099
0.02084041,0.5730088,-1.306324
0.02092636,0.5722988,-1.306608
0.02083766,0.5724012,-1.306864
0.02155459,0.5724506,-1.290699
0.02133799,0.5727006,-1.253114
0.01549792,0.573684,-1.23381
0.009057879,0.5751125,-1.213165
-0.001532912,0.5751504,-1.194386
-0.01591265,0.5752012,-1.18033
0.005157709,0.5751616,-1.178188
0.02056515,0.5757061,-1.188312
0.03152931,0.5753539,-1.204162
0.03539348,0.5740491,-1.222682
0.02490222,0.574954,-1.208544
0.0348624,0.5742021,-1.226217
0.03287113,0.5731922,-1.247689
0.02550232,0.5739166,-1.264354
0.01333606,0.5724603,-1.280331